symbol	target_address	status	extent_hex	region	sha256	function_address	function_extent_hex	access_address	access_opcode	base_register	trace_addresses	instruction_window_sha256	callee_address	callee_sha256	matching_evidence	matching_evidence_sha256	requesters	proof_kind	function_sha256	analysis_sha256	claim
DAT_001385ec	0x001385ec	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001385ed	0x001385ed	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b0a58	0x001b0a58	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b0ba0	0x001b0ba0	DIRECT_ACCESS_PROVED	0x8	initialized	08b692737eb97187a7b002758702c69e0415b1b9055ead3800770dbdce5c1d78	0x00102ab0	0x864	0x00102f94	ld	1	0x00102f90	463898e0055f9cdb0229c4f9c2f70bfa488a38c12be9bcb0988a926a7d26720e			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	d01231b55246365fc427a23164aa239852699325574e84feace3b6806062bd03	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b0ba8	0x001b0ba8	DIRECT_ACCESS_PROVED	0x8	initialized	08b692737eb97187a7b002758702c69e0415b1b9055ead3800770dbdce5c1d78	0x00102ab0	0x864	0x00103144	ld	1	0x00103140	b5e425b98b1d7e50662246093e09deff0c3e30b2786ac1f9c062aba4e15d23cc			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	d01231b55246365fc427a23164aa239852699325574e84feace3b6806062bd03	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b0eb8	0x001b0eb8	DIRECT_ACCESS_PROVED	0x1	initialized	8a5edab282632443219e051e4ade2d1d5bbc671c781051bf1437897cbdfea0f1	0x00104f18	0x798	0x0010507c	lb	4	0x00105060;0x00105068	e1871a7db424f5bd2e2536dac3a3462c5d704ee2e2a953f483324e7fe553229e			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b0eb9	0x001b0eb9	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00104f18	0x798	0x00105080	lb	4	0x00105060;0x00105068	319978c50f836e1210cc39268495cdb5202f2fce1a1b3c937e50dcad9cb1b0ab			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b1370	0x001b1370	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b1468	0x001b1468	DIRECT_ACCESS_PROVED	0x8	initialized	08b692737eb97187a7b002758702c69e0415b1b9055ead3800770dbdce5c1d78	0x00106ca0	0x6b8	0x00107090	ld	1	0x0010708c	3c4afea93ae513d7d1d3cdd37d7ebfb6b7edc8ee6c05761afdb4be924374c9e3			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	978b39f033ace789694bc31e83d575aa9cd489d6bb1ceac00c49b9ffd345b6d0	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b1470	0x001b1470	DIRECT_ACCESS_PROVED	0x8	initialized	08b692737eb97187a7b002758702c69e0415b1b9055ead3800770dbdce5c1d78	0x00106ca0	0x6b8	0x00107314	ld	1	0x00107310	b7ac0b512026850002357c8c19d016eeace066335f05268e2b8d33e90b77eb2d			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	978b39f033ace789694bc31e83d575aa9cd489d6bb1ceac00c49b9ffd345b6d0	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b18d0	0x001b18d0	DIRECT_ACCESS_PROVED	0x8	initialized	36503a72547b0ece1b47ade65c579a575cc90ec0a963071dc1fee532d798d785	0x0010b8a4	0x328	0x0010b920	ld	1	0x0010b91c	68449ab8176ede0d4bef0889f523afba22945ab4351bcc1581958d1a3ac018fb			analysis/matching/hunt1041-v75-validated-c4-5.tsv	ab4c4d26b26eb4f23e2f5877e611c9192abbc54041aa63a6fc014216235f527a	ps2/progress28_structural_lift_recovered.o	block-local-constant	836a03bef39c640f2f73345444026688456ae3e64678907e41517fe9736efc3a	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b18d8	0x001b18d8	DIRECT_ACCESS_PROVED	0x8	initialized	36503a72547b0ece1b47ade65c579a575cc90ec0a963071dc1fee532d798d785	0x0010bbcc	0x300	0x0010bc4c	ld	1	0x0010bc48	b159efa7f3d13269aa34d72b415e37638be9afe7df3170c086b01b0bc794d754			analysis/matching/hunt1041-v75-validated-c4-5.tsv	ab4c4d26b26eb4f23e2f5877e611c9192abbc54041aa63a6fc014216235f527a	ps2/progress28_structural_lift_recovered.o	block-local-constant	979b7761e73d9bb38d98c8a2a7e092098a81f2d985c0b4634bc6895f3d6fba26	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b18e0	0x001b18e0	DIRECT_ACCESS_PROVED	0x8	initialized	d9b4cee5f69ec5cfb7246dde44a30fc5d99a024b4bf06c3bf8f86f794c150150	0x0010c094	0xe0	0x0010c128	ld	1	0x0010c124	48018369c6201b0415f1876c6d57c3ddb142806550d42732fc12606ea764c554			analysis/matching/hunt1041-v75-validated-c4-5.tsv	ab4c4d26b26eb4f23e2f5877e611c9192abbc54041aa63a6fc014216235f527a	ps2/progress28_structural_lift_recovered.o	block-local-constant	4f960ff15e772d288e9469159b2f9b27928aed85916794192aefb05980166bd9	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b18e8	0x001b18e8	DIRECT_ACCESS_PROVED	0x8	initialized	af2597eaf11db0c07488aa1c4819a81ec7bcc2392002abd9428615cf91e9e366	0x0010c1f8	0x108	0x0010c28c	ld	1	0x0010c288	d488ccd3a4fe9e7de449ec4e45945695dea6fac91e7db99820c7280a56657eec			analysis/matching/hunt1041-v75-validated-c4-5.tsv	ab4c4d26b26eb4f23e2f5877e611c9192abbc54041aa63a6fc014216235f527a	ps2/progress28_structural_lift_recovered.o	block-local-constant	e7e60c411845301df556805b1d6d058698fd0d2aaaef6683690f9bbb581c9cf8	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b18f0	0x001b18f0	DIRECT_ACCESS_PROVED	0x8	initialized	662dd01a16bd59804af881ada35952d5210426e637feb6d611f67abc0a4dee82	0x0010c1f8	0x108	0x0010c2c0	ld	1	0x0010c2bc	7539efee6234b777b0cae90f5e471cba89358bdef1e137516b71c82bf86e02cb			analysis/matching/hunt1041-v75-validated-c4-5.tsv	ab4c4d26b26eb4f23e2f5877e611c9192abbc54041aa63a6fc014216235f527a	ps2/progress28_structural_lift_recovered.o	block-local-constant	e7e60c411845301df556805b1d6d058698fd0d2aaaef6683690f9bbb581c9cf8	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b20d8	0x001b20d8	DIRECT_ACCESS_PROVED	0x8	initialized	b21ba3b61c818e8462f4b8bba2251c3d3c3b0ff9fe01eb905fb30b44f9418303	0x0012c558	0x680	0x0012c778	ld	1	0x0012c774	9278643fb2390bc56491da0e93181e7ad83f72c6b1a0f693f8836a8a9e3f2157			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	78caff4b71efff83f4bb83d0c9f15c20d4026cb13a5faf87bdb3ddd6d5696f90	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b20e0	0x001b20e0	DIRECT_ACCESS_PROVED	0x8	initialized	924ca3d30e1662dfefab7df46c92c9286fe50783ebf41c9d880d1ba648919d32	0x0012c558	0x680	0x0012c794	ld	1	0x0012c790	26b34908cbd5644bd1e61918b7a10417561ba84f2c5500e606081dd38d7fbf9e			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	78caff4b71efff83f4bb83d0c9f15c20d4026cb13a5faf87bdb3ddd6d5696f90	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b20e8	0x001b20e8	DIRECT_ACCESS_PROVED	0x8	initialized	a021282d27b07f5a0baaaeb1335061a0e010fc06ee5d1710b345ae916b75d633	0x0012c558	0x680	0x0012c7c0	ld	1	0x0012c7bc	d4fb067580d93813e217f34b8cfeebf63cd90852898147ffa9c0796ccef54aeb			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	78caff4b71efff83f4bb83d0c9f15c20d4026cb13a5faf87bdb3ddd6d5696f90	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b20f0	0x001b20f0	DIRECT_ACCESS_PROVED	0x8	initialized	258aaf250460e3ef8b0ba84795e1c56140d229df968864ef3dc7ee7b81d5d11e	0x0012c558	0x680	0x0012c8fc	ld	1	0x0012c8f8	99f055499957b5a775a6d696085f14233b41a80a6c080cd579a57f2371ba4f2c			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	78caff4b71efff83f4bb83d0c9f15c20d4026cb13a5faf87bdb3ddd6d5696f90	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b20f8	0x001b20f8	DIRECT_ACCESS_PROVED	0x8	initialized	5204a522c3103e0e000d96ed5f25353bf3f18e19927699a654acee085190c5f0	0x0012c558	0x680	0x0012caf8	ld	1	0x0012caf4	58c867d7cac242e756f2a5d43406ec6c775bc1a7037a027dcd919b7900ff2d8b			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	78caff4b71efff83f4bb83d0c9f15c20d4026cb13a5faf87bdb3ddd6d5696f90	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b2118	0x001b2118	DIRECT_ACCESS_PROVED	0x8	initialized	568946b73185be9212f78a92db515c48fc38a91b32e7afc953f7e8e4acdb4a0e	0x0012d05c	0x2d8	0x0012d278	ld	1	0x0012d274	e33483a1a05ca2af1dca0413f80bb99cd82911558a0164570c10fe3706fbcf0a			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	89dab25ff724744a12db900fe72c6406c35b1465db5672bb3dd3246419e8a798	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b6ef8	0x001b6ef8	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b83f0	0x001b83f0	DIRECT_ACCESS_PROVED	0x8	initialized	0aebd7682f6377266e847e437b24d2f11fd3d667c286edee8dc948e5347621a7	0x00175300	0x9b4	0x001753b8	ld	1	0x001753b4	217b2badae37b00940be16f068ba3a5c1c293553409ae7d4fd2aa3da37b0a6f4			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	a4009eee1ef43aa647aa6ccf7781cca84920b09ee285bf39976d883bdd218a99	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b8440	0x001b8440	DIRECT_ACCESS_PROVED	0x8	initialized	9a7f813335d2ee00d78a5eabeab83eee448f5272dd2428a569af2f30319b8408	0x00177a84	0x268	0x00177bf8	ld	1	0x00177bf4	8869b8f6bf2f131683750f7d704c1bd15a17d376a62c72a8f731ddf2f49afca6			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	49c5bb585ba22d0ff11502960680ab301902d8df4315aa7ba86f4095b1134542	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b8508	0x001b8508	DIRECT_ACCESS_PROVED	0x8	initialized	4190b8e84a19fc8845ca80f9fb8faa07e6f2601a3ec4818467703d4c8a7e5c61	0x001806a4	0x4dc	0x001807d8	ld	2	0x001807cc	5984417a7d379d4529ca1413b6a4f1c489239a9eaa524dd9304250f9f74edcc1			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	5afc4b93158bfd754044add95c60a6029d2981f535515d6aae19576c064c6f0a	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b8510	0x001b8510	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x001806a4	0x4dc	0x001807dc	lbu	4	0x001807cc;0x001807d4	2e4b887e9d341f5ab394ee6592a50f47c36c294bc1e89da5fe38f772d5cd1831			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	5afc4b93158bfd754044add95c60a6029d2981f535515d6aae19576c064c6f0a	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001b8530	0x001b8530	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b8538	0x001b8538	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b8558	0x001b8558	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b8580	0x001b8580	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b8588	0x001b8588	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001b8590	0x001b8590	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001babc8	0x001babc8	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001baf00	0x001baf00	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00100114	0x278	0x0010028c	lw	2	0x00100288	fc01d393305def0f2342d15c99a3886f9b37beb93aa400c5529c09ed99480720			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	7e9ac3595f51b8b16782d02d52a1d0ef302620918e2b01401c291c04f3006358	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001baf08	0x001baf08	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0010038c	0x224	0x001003b8	lw	2	0x00100390	f16658d103b731aef1893e8123fcff2b20844be5cf3d394719f6617d0cb426e6			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	106b9ad2f128bc454b21e3ae95a1cf98689856940b957e24ab9d383aa9779b57	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001baf20	0x001baf20	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0010038c	0x224	0x00100434	sw	4	0x0010042c	660d222f5d18abf56ada72c882f7ef817bed20a4b23dcd238feb913aa7509f1c			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	106b9ad2f128bc454b21e3ae95a1cf98689856940b957e24ab9d383aa9779b57	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb2c0	0x001bb2c0	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001019a8	0x15c	0x001019bc	lw	16	0x001019b4	f1d9cb06341aa486913b104139ae7e57e6bef803eb438abdd37c4ab6c57fd8e7			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	10038534c6c9105e58b0b56a8a2dcdec3aed3ceb016825d104015399f6296e53	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb2c4	0x001bb2c4	DIRECT_ACCESS_PROVED	0x4	initialized	3f56473d402a3176f3cb8bbe1a85ae9805d876cb1a8398188774c6afc929cb8b	0x00102ab0	0x864	0x00102dd4	lw	18	0x00102dcc	ff0ba14a1b80dcf26cc2edaea61e4fea36a723d439a71f5c3b33c09fe723b4d6			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	d01231b55246365fc427a23164aa239852699325574e84feace3b6806062bd03	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb2c8	0x001bb2c8	DIRECT_ACCESS_PROVED	0x4	initialized	e00e5eb9444182f352323374ef4e08ebcb784725fdd4fd612d7730540b3e0c8c	0x00102ab0	0x864	0x00102e14	lwc1	2	0x00102e10	ae356b0621438f458b04d08b2b60b690fc29e557221e69c2c3f55b8b19644d80			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	d01231b55246365fc427a23164aa239852699325574e84feace3b6806062bd03	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb2cc	0x001bb2cc	DIRECT_ACCESS_PROVED	0x4	initialized	67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450	0x001008dc	0x59c	0x00100dc8	lw	4	0x00100dc0	1503dbf272e4187cd28ef6d5e03a7298a82ab703329c24be887c1ffba4c35683			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	6df0b48d299c65f3b929994c4bac8aa18627bd6947ac60bd8a8a6220d3cc08eb	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb340	0x001bb340	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00104f18	0x798	0x00105084	sb	2	0x00105074;0x00105078	526cbc3c1b559d015a88b7ca44545aab7f495cb988c414d86adb3868765d27df			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb341	0x001bb341	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00104f18	0x798	0x00105088	sb	2	0x00105074;0x00105078	9ed3309d6f5980e8dc4e798d5fc5e7e640759a4df9a1a257afc5a64a7b8caf44			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb748	0x001bb748	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001019a8	0x15c	0x00101ac4	sw	3	0x00101ab4	189b3de3fc39e3915c4c70b60598861f35dfab030c617fbcb7429419a45f9d39			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	10038534c6c9105e58b0b56a8a2dcdec3aed3ceb016825d104015399f6296e53	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bb87c	0x001bb87c	DIRECT_ACCESS_PROVED	0x4	initialized	67abdd721024f0ff4e0b3f4c2fc13bc5bad42d0b7851d456d88d203d15aaa450	0x00101ef0	0xad4	0x00101f24	sw	2	0x00101efc	e18ac066c13157f329038fb91b2cfe28553a96b80f1260d71ebc9f280d51077e			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b05b72b769459f9b5148b7776084b3205c4f2c47ed1acc0164a53735e903ecc2	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bbd44	0x001bbd44	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00100e78	0x99c	0x00101804	sw	3	0x00101800	40379320742ead02dd7e9916c01b9af0a2d643a5eec5507ed418d7ecffcfb7d7			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	c0fc5e6517e952e296e6e98b6121abeb8584e1177fc09a70ece903568fe1e8a7	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bbd50	0x001bbd50	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00104f18	0x798	0x00105394	sw	2	0x0010538c	1af69cae3662a21d12f9b0180c5c712fee2681fe546d0e165dcb2bcf4f66aacb			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	b8f2bdcb05d3b4d3e386f2a1e61d8146cffaa3e1b66bc8b9acce81d11e86ed4c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_001bbd80	0x001bbd80	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001bbd82	0x001bbd82	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001bbd84	0x001bbd84	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001bbd86	0x001bbd86	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001d3480	0x001d3480	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001d3482	0x001d3482	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_001d3484	0x001d3484	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
